2023-05-13 19:10:52 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 14ms
2023-05-13 20:10:36 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/add/book, Response state: OK, Request time: 772ms
2023-05-13 20:11:39 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/add/book, Response state: OK, Request time: 63ms
2023-05-13 20:13:54 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/add/book, Response state: OK, Request time: 261ms
2023-05-13 20:16:05 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/add/book, Response state: OK, Request time: 52ms
2023-05-13 20:17:17 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/add/book, Response state: OK, Request time: 52ms
2023-05-13 20:18:05 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/add/book, Response state: OK, Request time: 27ms
2023-05-13 20:18:23 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 123ms
2023-05-13 20:18:54 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/add/book, Response state: OK, Request time: 34ms
2023-05-13 20:19:47 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 110ms
2023-05-13 20:19:51 INFO  [c.e.s.controller.BookController] API: /api/books/secure/return, Response state: OK, Request time: 303ms
2023-05-13 20:19:51 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 12ms
2023-05-13 20:19:53 INFO  [c.e.s.controller.BookController] API: /api/books/secure/return, Response state: OK, Request time: 221ms
2023-05-13 20:19:54 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 15ms
2023-05-13 20:19:57 INFO  [c.e.s.controller.BookController] API: /api/books/secure/return, Response state: OK, Request time: 275ms
2023-05-13 20:19:57 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 11ms
2023-05-13 20:19:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/return, Response state: OK, Request time: 260ms
2023-05-13 20:19:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 11ms
2023-05-13 20:20:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/return, Response state: OK, Request time: 44ms
2023-05-13 20:20:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 10ms
2023-05-13 20:20:04 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 20ms
2023-05-13 20:20:04 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 24ms
2023-05-13 20:20:04 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 49ms
2023-05-13 20:20:09 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 20:20:09 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 4ms
2023-05-13 20:20:09 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 4ms
2023-05-13 20:20:29 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 60ms
2023-05-13 20:20:43 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 40ms
2023-05-13 20:20:52 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 59ms
2023-05-13 20:20:54 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 52ms
2023-05-13 20:20:55 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 61ms
2023-05-13 20:20:56 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 62ms
2023-05-13 20:20:57 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 56ms
2023-05-13 20:20:58 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 49ms
2023-05-13 20:20:59 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 58ms
2023-05-13 20:21:00 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 47ms
2023-05-13 20:21:01 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 76ms
2023-05-13 20:21:02 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 34ms
2023-05-13 20:21:03 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 42ms
2023-05-13 20:21:04 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 47ms
